Date,Open,High,Low,Close,Volume
2018-06-14,1.7500,1.7900,1.7500,1.7900,8600
2018-06-13,1.7900,1.7900,1.7000,1.7000,3200
2018-06-12,1.7000,1.7800,1.7000,1.7000,1192
2018-06-11,1.6500,1.6950,1.6500,1.6950,2000
2018-06-08,1.6100,1.6100,1.6100,1.6100,5600
2018-06-06,1.6550,1.6550,1.6100,1.6100,12050
2018-06-05,1.7000,1.7000,1.7000,1.7000,4647
2018-06-04,1.7400,1.7400,1.6100,1.6100,4695
2018-06-01,1.7400,1.7400,1.6750,1.6750,375
2018-05-31,1.6500,1.6500,1.6000,1.6000,16985
2018-05-30,1.8000,1.8000,1.8000,1.8000,105
2018-05-24,1.8000,1.8000,1.8000,1.8000,36
2018-05-23,1.8000,1.8000,1.8000,1.8000,1000
2018-05-22,1.8000,1.8000,1.8000,1.8000,10500
2018-05-21,1.8000,1.8000,1.8000,1.8000,2500
2018-05-17,1.8000,1.8500,1.8000,1.8000,12575
2018-05-16,1.7500,1.7500,1.7500,1.7500,5200
2018-05-15,1.8000,1.8050,1.7600,1.7600,13100
2018-05-11,1.8200,1.8900,1.8200,1.8500,9342
2018-05-10,1.8000,1.8500,1.8000,1.8000,6850
2018-05-09,1.7800,1.8050,1.7500,1.7500,16050
2018-05-08,1.7850,1.7900,1.7700,1.7900,3820
2018-05-07,1.7500,1.7500,1.7500,1.7500,1000
2018-05-04,1.8000,1.8000,1.7750,1.8000,500
2018-05-03,1.7375,1.7375,1.7000,1.7000,25000
2018-05-02,1.8000,1.8000,1.8000,1.8000,7800
2018-05-01,1.8500,1.8500,1.8000,1.8000,2000
2018-04-27,1.9500,1.9500,1.9500,1.9500,5
2018-04-25,1.9500,1.9500,1.9500,1.9500,100
2018-04-24,1.8500,1.9050,1.8500,1.9000,5692
2018-04-23,1.9100,1.9100,1.8500,1.8500,2958
2018-04-20,2.0000,2.0000,2.0000,2.0000,27000
2018-04-19,2.0000,2.0900,2.0000,2.0000,18090
2018-04-18,2.1000,2.1000,1.9500,1.9500,71214
2018-04-17,1.8000,1.9250,1.8000,1.8700,25700
2018-04-16,1.5700,1.5700,1.5700,1.5700,5700
2018-04-13,1.5400,1.6400,1.5400,1.6400,3306
2018-04-12,1.4900,1.5400,1.4900,1.5400,13980
2018-04-11,1.4000,1.4000,1.4000,1.4000,3000
2018-04-10,1.3300,1.3500,1.3300,1.3500,8100
2018-04-09,1.3000,1.3000,1.3000,1.3000,555
2018-04-06,1.2500,1.3030,1.2500,1.3000,20508
2018-04-05,1.1500,1.2000,1.1000,1.2000,18275
2018-04-04,1.1000,1.1000,1.1000,1.1000,4250
2018-04-02,1.1000,1.1040,1.1000,1.1000,7150
2018-03-29,1.1000,1.1300,1.0900,1.1000,13473
2018-03-28,1.1000,1.1100,1.0900,1.1000,30456
2018-03-27,1.1000,1.1050,1.1000,1.1000,7885
2018-03-26,1.1000,1.1300,1.1000,1.1300,36300
2018-03-23,1.1000,1.1400,1.0600,1.1200,124851
2018-03-22,1.1300,1.1400,1.0400,1.0600,44650
2018-03-21,1.0050,1.1595,1.0050,1.1500,386290
2018-03-20,1.1500,1.1500,1.1500,1.1500,336
2018-03-19,1.2000,1.2000,1.2000,1.2000,2500
2018-03-16,1.0500,1.0600,1.0500,1.0600,3800
2018-03-15,1.2100,1.2100,1.0731,1.0731,15900
2018-03-14,1.0500,1.1500,1.0500,1.0700,10200
2018-03-13,1.1900,1.1900,1.0500,1.0500,3415
2018-03-12,1.0500,1.2200,1.0500,1.0500,5050
2018-03-09,1.1800,1.2500,1.1800,1.2400,27175
2018-03-08,1.0630,1.1600,1.0630,1.1200,6110
2018-03-07,1.0400,1.0400,1.0400,1.0400,15000
2018-03-06,1.0500,1.2000,0.9900,1.0400,12370
2018-03-05,1.0300,1.1000,1.0000,1.0100,29935
2018-03-02,1.0700,1.1000,1.0400,1.0400,48391
2018-03-01,1.0900,1.1800,1.0200,1.1700,40914
2018-02-28,1.1400,1.2100,1.1000,1.1000,27683
2018-02-27,1.0600,1.1000,1.0300,1.0500,58550
2018-02-26,1.1400,1.2120,1.0400,1.0800,75890
2018-02-23,1.2750,1.3500,1.2000,1.2600,121235
2018-02-22,1.2500,1.3000,1.2500,1.2900,42350
2018-02-21,1.3200,1.4000,1.0900,1.2500,198278
2018-02-20,1.6500,1.6700,1.6200,1.6700,19926
2018-02-16,1.7000,1.7100,1.6500,1.7100,2400
2018-02-14,1.6400,1.7000,1.6000,1.7000,12340
2018-02-13,1.6700,1.6700,1.6400,1.6700,14140
2018-02-12,1.6900,1.7100,1.5900,1.7000,11664
2018-02-09,1.7200,1.7200,1.6300,1.6900,42813
2018-02-08,1.8100,1.8100,1.8000,1.8100,6400
2018-02-07,1.8100,1.8200,1.7900,1.7900,900
